USD,GBP,EUR,Date,Year
79.01866,140.84286,99.68994,2004-01-06,2004
78.87716,143.36713,100.33175,2004-01-07,2004
78.84478,143.09539,99.77018,2004-01-08,2004
78.90775,143.2728,99.38431,2004-01-09,2004
78.92975,144.73348,100.50125,2004-01-12,2004
78.76539,146.18856,101.46558,2004-01-13,2004
79.00465,145.79518,100.96004,2004-01-14,2004
79.46565,145.87509,100.57967,2004-01-15,2004
79.69597,145.78784,100.88713,2004-01-16,2004
79.87251,144.80886,99.81668,2004-01-19,2004
79.94416,142.90019,98.779,2004-01-20,2004
80.0311,144.13601,99.91883,2004-01-21,2004
79.97657,146.68503,101.18636,2004-01-22,2004
80.01058,146.76341,101.3414,2004-01-23,2004
80.02076,148.07842,102.1385,2004-01-26,2004
80.09064,146.03727,100.76203,2004-01-27,2004
80.10916,144.47687,99.82402,2004-01-28,2004
80.17347,146.73348,101.05866,2004-01-29,2004
80.17503,145.95864,100.29095,2004-01-30,2004
80.1535,145.04577,99.14988,2004-02-02,2004
80.12158,145.96549,99.83149,2004-02-03,2004
79.97567,146.68338,100.32148,2004-02-05,2004
79.98737,146.70484,100.65611,2004-02-06,2004
79.89008,146.75808,100.23009,2004-02-09,2004
79.8788,148.47073,101.81352,2004-02-10,2004
80.26516,149.96742,102.53874,2004-02-11,2004
79.92951,149.34829,101.3746,2004-02-12,2004
79.83896,150.99144,102.27371,2004-02-13,2004
79.74347,150.89857,102.18328,2004-02-16,2004
79.73608,150.42211,101.75121,2004-02-17,2004
79.73081,151.28124,102.32652,2004-02-18,2004
79.8078,152.36905,102.85629,2004-02-19,2004
79.77898,150.63069,101.32728,2004-02-20,2004
79.82009,150.43692,101.00434,2004-02-23,2004
79.81087,148.24071,100.23447,2004-02-25,2004
79.78859,150.57703,101.05225,2004-02-26,2004
79.8149,149.41349,99.68881,2004-02-27,2004
79.83841,149.12923,99.63768,2004-03-01,2004
79.82509,148.7612,99.10496,2004-03-02,2004
79.82036,146.4957,97.15029,2004-03-03,2004
79.82112,146.16531,97.33711,2004-03-04,2004
79.82377,145.24257,97.42454,2004-03-05,2004
